date,id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,relative_velocity_kmh,miss_distance_km,is_potentially_hazardous
2024-08-13,54106628,(2021 BD3),25.72,0.0190789723,0.0426618789,57039.7606811539,49217840.15119354,False
2024-08-13,54158260,(2021 LK5),23.25,0.0595052079,0.1330576898,39924.8695699942,31489540.979102257,False
2024-08-13,54427174,(2024 CC8),25.09,0.0255008688,0.0570216761,36777.4662242452,38282938.380750847,False
2024-08-13,54441267,(2024 JL12),21.7,0.1214940408,0.2716689341,52919.8131311528,65581983.049974618,False
2024-08-13,54465213,(2024 OS),25.55,0.0206326484,0.0461360043,25110.2733511955,7655210.250770187,False
2024-08-13,54465295,(2024 OQ2),23.26,0.0592318063,0.1324463452,41474.3738739772,28054295.709270589,False
2024-08-13,54465530,(2024 PS1),26.52,0.0131994239,0.0295148091,30949.1847560165,1363917.021436714,False
2024-08-13,54466221,(2024 PF6),25.2,0.0242412481,0.0542050786,46954.3952087323,1215041.365073713,False
2024-08-13,54467612,(2024 RN),25.53,0.0208235599,0.0465628955,19105.8067483739,4087668.403799759,False
2024-08-13,54490137,(2024 TA10),23.95,0.0431077124,0.0963917753,18035.1940495891,23038446.243951166,False
2024-08-13,54514890,(2024 YB26),26.52,0.0131994239,0.0295148091,24679.9274335409,29300739.013638132,False
2024-08-13,54561377,(2025 VA2),28.12,0.0063176415,0.0141266758,14526.7958433405,23880123.279609911,False
2024-08-14,3448532,(2009 DH39),18.8,0.4619074603,1.0328564805,95977.0987384237,63156164.397674524,True
2024-08-14,3632675,(2013 EV108),20.84,0.1805323255,0.4036825521,85037.1901093908,56028376.891049308,True
2024-08-14,3724987,(2015 PM),20.48,0.2130860292,0.4764748465,59580.8053360625,23361305.090791813,True
2024-08-14,3771019,(2017 ED3),24.12,0.0398616229,0.0891332986,24212.7425374152,36341639.11994098,False
2024-08-14,54016396,(2020 FW5),25.72,0.0190789723,0.0426618789,29460.199765786,70498242.62519189,False
2024-08-14,54231777,(2021 YR),25.85,0.0179702855,0.0401827799,69899.4719777779,27610063.054090936,False
2024-08-14,54240297,(2022 BB3),22.93,0.0689532874,0.154184238,35805.8980043401,36285781.504291243,False
2024-08-14,54271308,(2022 GT3),25.9,0.0175612318,0.0392681082,25125.0473468392,39962570.068108275,False
2024-08-14,2620063,620063 (2009 DH39),18.59,0.5088092249,1.1377320144,95977.1144979601,63156156.424108053,True
2024-08-14,54431622,(2024 FC2),22.33,0.0908981358,0.2032544107,63761.2501948736,53244146.485716912,False
2024-08-14,54465271,(2024 OB2),23.81,0.0459785188,0.1028110936,69851.4478724419,7635587.139127399,False
2024-08-14,54465603,(2024 PH2),25.59,0.0202560601,0.0452939273,36792.2377932541,1799281.125928305,False
2024-08-14,54465701,(2024 PQ2),24.5,0.0334622374,0.0748238376,23017.2233916734,16746491.447957192,False
2024-08-14,54465831,(2024 PO3),27.34,0.0090480497,0.0202320542,28006.7631611603,2732300.780955249,False
2024-08-14,54466136,(2024 PS5),22.35,0.0900647767,0.2013909631,31290.7771595009,16619494.016328294,False
2024-08-14,54466455,(2024 QD),24.34,0.0360209346,0.0805452583,39750.4948047361,9267670.295408926,False
2024-08-14,54467176,(2024 QC1),23.12,0.0631764148,0.1412667581,76234.916876787,14138357.602211932,False
2024-08-14,54468766,(2024 RU3),24.11,0.0400456158,0.0895447192,21495.4915332778,21380556.722065076,False
2024-08-20,3756789,(2016 PO),25.1,0.0253837029,0.0567596853,44436.5784771181,65477152.312652544,False
2024-08-20,3781330,(2017 QX35),22.27,0.0934447651,0.2089488469,39847.7476382447,23057584.32937984,False
2024-08-20,54203000,(2018 UY37),22.47,0.0852226386,0.1905636132,18054.1714580422,31919535.133412115,False
2024-08-20,54317182,(2022 UG2),27.11,0.0100590039,0.0224926165,24202.8412082626,57781577.654357679,False
2024-08-20,54412202,(2023 XC),28.47,0.005377185,0.0120237511,21745.6404736316,42107248.306373557,False
2024-08-20,54459242,(2024 NU2),19.42,0.3471802221,0.776318577,124395.7729222987,69296245.595990697,False
2024-08-20,54466135,(2024 PQ5),24.55,0.0327005439,0.0731206391,45246.9807078469,5170041.366228827,False
2024-08-20,54467173,(2024 QY),25.48,0.0213086029,0.0476474846,40599.4233199496,7963118.70535707,False
2024-08-20,54485959,(2024 RP74),25.93,0.0173202827,0.0387293295,22084.7744864016,12178776.554181271,False
2024-08-20,54602552,(2026 CH2),30.06,0.0025855621,0.0057814927,17854.0185105935,29111679.723816561,False
2024-08-20,54602811,(2026 CZ3),25.58,0.0203495578,0.0455029946,56025.5723337791,8840585.535434615,False
2024-08-19,2452314,452314 (1999 LN28),19.05,0.4116754573,0.9205343072,54884.3172280016,71917995.929622079,False
2024-08-19,3381258,(2007 PQ9),22.22,0.0956213733,0.2138158908,19388.2543410587,34803207.581271741,False
2024-08-19,3744802,(2016 DB1),26.5,0.0133215567,0.0297879063,30656.9880096461,57201494.769516777,False
2024-08-19,54187638,(2021 QR),21.77,0.1176399894,0.2630510131,83016.1687274082,46228901.501572057,False
2024-08-19,54445846,(2024 JV33),21.21,0.152249185,0.3404395273,39878.1566135417,4590271.784207066,True
2024-08-19,54459240,(2024 NS2),22.5,0.0840533402,0.1879489824,2149.9952578589,43047677.334464583,False
2024-08-19,54465553,(2024 PY1),23.01,0.0664591797,0.1486072436,47105.2081603951,16768227.435036499,False
2024-08-19,54466138,(2024 PV5),24.07,0.0407901194,0.0912094798,41678.7397694449,15158403.529263965,False
2024-08-19,54466388,(2024 QA),25.7,0.0192555078,0.0430566244,77989.5864122987,707296.380673441,False
2024-08-19,54467169,(2024 QW),25.3,0.0231502122,0.0517654482,41552.9567506836,7795989.805046871,False
2024-08-19,54467560,(2024 PZ8),22.05,0.1034081995,0.2312277636,16609.9090702563,70274298.922220546,False
2024-08-19,54470738,(2024 RO13),24.68,0.0308003021,0.0688715693,15564.6335391871,26532660.331294748,False
2024-08-19,54541029,(2025 QX),24.82,0.0288771931,0.0645713667,41957.4595744537,25293904.562270765,False
2024-08-19,54541548,(2025 QF4),27.3,0.0092162655,0.0206081961,39857.205491752,23904591.477307537,False
2024-08-15,2005660,5660 (1974 MA),15.38,2.2312846442,4.9893041415,77045.1904469524,66345806.272369241,False
2024-08-15,2164217,164217 (2004 PT42),17.16,0.9830033019,2.1980622051,93286.332378216,26869826.04523178,False
